block_discoveries,last_block_that_confirmed,confirmations,block_time,median_time
300,45,50,1,281
300,75,50,2,583
300,121,50,3,925
300,136,50,4,1166
300,156,50,5,1432
300,120,50,6,1361
300,92,50,7,976
300,67,50,8,688
300,62,50,9,659
300,62,50,10,738
300,56,50,11,671
300,55,50,12,767
300,52,50,13.24,732
300,52,50,14,834
300,52,50,15,949
300,53,50,16,849
300,51,50,17,828
300,51,50,18,955
300,52,50,19,1068
300,51,50,20,1060
300,51,50,21,1054
300,51,50,22,1051
300,51,50,23,1230
300,51,50,24,1165
300,51,50,25,1272
